,Comment,sentiment
0,#Adipurush Prabhas. Jai Shri Ram,5
1,Who came here after watching trailer to see difference,1
2,"Adipurush SriRam,Adikavya Ramayan are eternal!Prabhas' Adipurush will definitely be a blockbuster movie!",5
3,"My dear telugu friends don't worry about this movie, we suriya fans full support to prabhas sir love from tamil nadu",5
4,Who came after seeing trailer,1
5,Being Telugu movie lover i am always mesmerized by the voice of prabhas garu in Telugu the intensity which he brings to the character is truly magnificent whether it may be Bahubali and now Adipurush ...Huge fan of you Anna...,5
6,How many here prabhas anna fans?? ️,1
7,Adipurush prabhas sir voice,5
8,Huge Respect to Prabhas for making film for kids.,5
9,High demand for kids show TV's to purchasing this movie A huge respect for prabhas for making kids show to make kids happy ️,5
10,Imagine if it was directed by SS.Rajamouli with MM.Keravanni background score and  Prabhas .Thinking of it.Ahhh..........GOOSEBUMPSbut it never gonna happenComment who agree with me,1
11,My respect for BRAHMASTRA and AYAN MUKHERJI increased 1000 times after seeing Adipurush teaser.,5
12,After watching Trailer  idii kuda Bagundiii,1
13,huge respect for the veteran filmmakers for giving the best historical dramas with limited technologies back in those days.,5
14,"After watching this trailer and read comments.. my respect increased 1000000000000 times on paathaalaa bhairavi, keelu gurram movies",1
15,"THE VFX00:09 syeraa00:17 infinity war bgm00:30 how to train your dragon00:34 zandu balm00:46 planet of the apes00:49 king kong01:11 temple run01:13 jungle book01:18 ram, bheem, rrr01:33 narnia",4
16,Jai shree ram  prabhas Anna love you forever,5
17,Prabhas voice,4
18,"The Background score , they just nailed it.",1
19,"I respect to everyone who were involved in this, Seriously the best piece that I' ve ever seen on YouTube, HATS OFF TO WELL ALL ! LOVE YOUR VIDEOS!! ️",5
